ffy,stfips,st,age_at_start,age_at_lf,legally_free_first_day,total_kids_in_care_first_day,per_leg_free_first_day,became_legally_free,exit_one_year,per_exit_one_year
2010,34,NJ,1,1,501,3066,0.163405088,662,503,0.759818731
2010,34,NJ,2,2,347,1518,0.22859025,245,150,0.612244898
2010,34,NJ,3,3,291,1469,0.198093941,137,81,0.591240876
2010,34,NJ,4,4,96,802,0.119700748,39,13,0.333333333
2010,35,NM,0,0,605,1840,0.328804348,338,173,0.51183432
2010,35,NM,1,1,198,721,0.274618585,162,104,0.641975309
2010,35,NM,2,2,183,573,0.319371728,105,46,0.438095238
2010,35,NM,3,3,154,393,0.391857506,61,21,0.344262295
2010,35,NM,4,4,70,153,0.45751634,10,2,0.2
2010,36,NY,0,0,3594,21517,0.16703072,2303,1144,0.496743378
2010,36,NY,1,1,863,6921,0.124692963,1047,635,0.606494747
2010,36,NY,2,2,1061,5380,0.197211896,680,314,0.461764706
2010,36,NY,3,3,1079,5434,0.198564593,456,168,0.368421053
2010,36,NY,4,4,591,3782,0.156266526,120,27,0.225
2010,37,NC,0,0,1641,8068,0.203396133,1306,747,0.571975498
2010,37,NC,1,1,522,3025,0.172561983,680,481,0.707352941
2010,37,NC,2,2,457,2030,0.225123153,369,178,0.482384824
2010,37,NC,3,3,481,1957,0.245784364,231,80,0.346320346
2010,37,NC,4,4,181,1056,0.171401515,26,8,0.307692308
2010,38,ND,0,0,178,912,0.195175439,126,60,0.476190476
2010,38,ND,1,1,60,261,0.229885057,64,40,0.625
2010,38,ND,2,2,66,193,0.341968912,36,11,0.305555556
2010,38,ND,3,3,38,268,0.141791045,24,8,0.333333333
2010,38,ND,4,4,14,190,0.073684211,2,1,0.5
2010,39,OH,0,0,2772,10233,0.270888303,1491,741,0.496981891
2010,39,OH,1,1,842,3830,0.219843342,837,545,0.651135006
2010,39,OH,2,2,730,2210,0.330316742,310,108,0.348387097
2010,39,OH,3,3,797,2489,0.320208919,250,73,0.292
2010,39,OH,4,4,403,1704,0.236502347,94,15,0.159574468
